Cycle,Geometric Precision,Assembly Efficiency,Precision Change
95,0.5505978695170947,0.8950801788559731,1
96,0.6807478640990774,0.9070779625468752,1
97,0.6039041141379933,0.9246174946526007,0
98,0.6286440431167948,0.9472515061106224,1
99,0.5404613384504118,0.924608012161924,0
100,0.5775898569400797,0.8929436800213776,1
101,0.6831079119165059,0.8940795695402304,1
102,0.5968707926479909,0.9377063555169529,0
103,0.5571673651719857,0.9389469209695143,0
104,0.5884741954542914,0.9372430987290765,1
105,0.7049534464036921,0.8674146419417512,1
106,0.6947366821685484,0.8515899844683754,0
107,0.6061785293355988,0.8746421513109832,0
108,0.47672279292750186,0.9376917229325428,0
109,0.5847521630034169,0.8931390328586115,1
110,0.6435314522978469,0.9446746355656387,1
111,0.6667112310869447,0.9304299038249639,1
112,0.7713091952907136,0.9155559987014794,1
113,0.6154272105489929,0.8783850364209957,0
114,0.6937547035025757,0.8678164596839889,1
115,0.6587866217803142,0.8875113704468056,0
116,0.5962983440662591,0.9295761311308945,0
117,0.7002520024904961,0.931537711332346,1
118,0.6255381817324767,0.9368333287473328,0
119,0.646665330102502,0.9152591551128657,1
120,0.6653752283101223,0.8628691616378449,1
121,0.6020562995227307,0.9330731419530737,0
122,0.6769197476137435,0.8788514764042157,1
123,0.5735514464950275,0.9184831126334384,0
124,0.6991082892841984,0.9365759250290581,1
125,0.6162039185547726,0.8879670038023709,0
126,0.6156347837893668,0.9209914243927604,0
127,0.6783997994146721,0.8844164984526451,1
128,0.6692758817266147,0.8870234806706614,0
129,0.6225517801096696,0.9451493355822327,0
130,0.662158337517368,0.8705243011402731,1
131,0.6971639167407129,0.9082448125291855,1
132,0.6847826944272916,0.9273874875964463,0
133,0.6941419386138062,0.9124167654236056,1
134,0.6976575439326037,0.871345381350906,1
135,0.5904027770533661,0.8787236048330296,0
136,0.6388769257073337,0.9000543284096862,1
137,0.6140401338667362,0.8819324965679658,0
138,0.6860533764575172,0.9013966370032302,1
139,0.68844164302163,0.897964272140207,1
140,0.7175160763996355,0.9375674458200342,1
141,0.7690103474859026,0.8558519579735826,1
142,0.7100145484339686,0.8749293201859787,0
143,0.7048900010032718,0.9342319613246434,0
144,0.78526442040975,0.9410205568785743,1
145,0.6200156874428063,0.9122886319637404,0
146,0.6056304168191562,0.8629793773176754,0
147,0.6333864228169493,0.8810915187241978,1
148,0.7501636250322743,0.8955082888337358,1
149,0.761620520589376,0.9488329519382896,1
150,0.7206088124579805,0.9076041778405799,0
151,0.6572162361237737,0.8511029140376895,0
152,0.7131096695052248,0.9222533889909648,1
153,0.768283517552557,0.920224325568038,1
154,0.7494768495820396,0.9385830541108219,0
155,0.6908819376875297,0.8533783591935536,0
156,0.7234716385442661,0.8884197414060078,1
157,0.676387775211325,0.8882313052783463,0
158,0.706078456546356,0.9017204344377882,1
159,0.6812648377051164,0.8746876609146701,0
160,0.71129711591854,0.8525457035853022,1
161,0.7149711348962933,0.893489157886479,1
162,0.761909793642409,0.9477538386553244,1
163,0.8079143583510336,0.9002596039028774,1
164,0.6500272701307914,0.8582735905698474,0
165,0.7158722832712583,0.90954820774768,1
166,0.6457640891511194,0.8938652044241208,0
167,0.7049417174063602,0.8926950702684461,1
168,0.7379265972202564,0.9038735641640823,1
169,0.703620395785911,0.8786185144986487,0
170,0.7556610338545097,0.9108751396480722,1
171,0.7501678517890701,0.9144130158645771,0
172,0.7397785766928399,0.8742735131026348,0
173,0.6942711533430467,0.867348196247507,0
174,0.736209003407473,0.9067616117797278,1
175,0.7722552415094244,0.9449861486626192,1
176,0.7654243103569147,0.8711622763280353,0
177,0.8023762808909514,0.8623904594045548,1
178,0.7491877643937944,0.9427525084348745,0
179,0.8012506435416242,0.8810205426713782,1
180,0.7275166300639433,0.9324151329980572,0
181,0.8874373451605342,0.9282438273196897,1
182,0.719994009431726,0.8560826265526567,0
183,0.8516741963053661,0.8609629548098862,1
184,0.7625901089446623,0.8521018731911731,0
185,0.7584575803733367,0.9218518421567872,0
186,0.8066483555166218,0.9352492528626816,1
187,0.6999423155961984,0.945859559436156,0
188,0.8516475226750226,0.9249850435474669,1
189,0.6954474609654154,0.917550900640749,0
190,0.8142157261556915,0.9225286452505499,1
191,0.7633282900907917,0.9456026387998271,0
192,0.8471615572552011,0.8895461385268238,1
193,0.8631256133443049,0.9181280460339,1
194,0.8082793869924918,0.8894061535770617,0
195,0.8132780533749246,0.8979204093471985,1
196,0.8037910997927968,0.8677708587043731,0
197,0.8220034226014103,0.9227352518615783,1
198,0.791529337231955,0.9432875589593995,0
199,0.7999477601081285,0.9328042462034108,1
200,0.7929472521868115,0.8657148847889096,0
